page;type;url;domaine;ancre
1.html;interne;index.html;;На головну
1.html;interne;1.html;;чому?
1.html;interne;2.html;;прибуття
1.html;interne;20.html;;прибуття_Париж
1.html;interne;3.html;;Переміщення
1.html;interne;4.html;;житло
1.html;interne;5.html;;лікувати
1.html;interne;75.html;;ВНЖ, Інші статуси
1.html;interne;76.html;;Порівняння внж
1.html;interne;77.html;;Запит Азіль
1.html;interne;6.html;;тимчасового захисту
1.html;interne;7.html;;працювати
1.html;interne;8.html;;надзвичайна ситуація
1.html;interne;9.html;;вивчати французьку
1.html;interne;10.html;;практична інформація і посилання
1.html;interne;je-suis-francais-je-veux-aider-.html;;Je suis français je veux aider !
1.html;interne;11.html;;діти та неповнолітні
1.html;interne;13.html;;їсти
1.html;interne;12.html;;Домашні тварини
1.html;interne;14.html;;дешеві продукти
1.html;interne;15.html;;Допомога,банк та гроші
1.html;interne;19.html;;лікар
1.html;interne;16.html;;виїзд з україни
1.html;interne;17.html;;студент
1.html;interne;72.html;;Студент та ВНЗ
1.html;interne;73.html;;Після ВНЗ
1.html;interne;18.html;;дозвілля
1.html;interne;deplacer-france.html;;déplacer_france
1.html;interne;deplacer-paris.html;;deplacer_paris
1.html;interne;deplacer-europe.html;;deplacer_europe
1.html;interne;deplacer-voiture.html;;deplacer_voiture
1.html;interne;soigner-sans.html;;soigner_sans
1.html;interne;soigner-protection.html;;soigner_protection
1.html;interne;soigner-avec.html;;soigner_avec
1.html;interne;soigner-psy.html;;soigner_psy
1.html;interne;soigner-medic.html;;soigner_medic
1.html;interne;soigner-covid.html;;soigner_covid
1.html;interne;advocat.html;;advocat
1.html;interne;iest-paris.html;;iest_paris
1.html;interne;iest-france.html;;iest_france
1.html;interne;simcard.html;;simcard
1.html;interne;mineur-non-accompagne.html;;mineur_non_accompagné
1.html;interne;mineur-consulat.html;;mineur_consulat
1.html;interne;mineur-ecole.html;;mineur_ecole
1.html;interne;mineur-divers.html;;mineur_divers
1.html;interne;sante-france.html;;sante_france
1.html;interne;banque-ada.html;;banque_ADA
1.html;interne;banque-change.html;;banque_change
1.html;interne;zashita-evrop.html;;zashita_evrop
1.html;interne;banque-compte.html;;banque_compte
1.html;interne;gare-est.html;;gare_est
1.html;interne;paris-verneuil.html;;paris_verneuil
1.html;interne;neofitsine-zhitlo.html;;neofitsine_zhitlo
1.html;interne;orendu-kvartiri.html;;orendu_kvartiri
1.html;interne;gare-nord-est.html;;gare_nord_est
1.html;interne;21.html;;в дорозі
1.html;interne;22.html;;Ніцці
1.html;interne;23.html;;Страсбурз
1.html;interne;navigo.html;;Знижки_Navigo
1.html;interne;est.html;;маршрут_est
1.html;interne;nord.html;;маршрут_nord
1.html;interne;lyon.html;;маршрут_lyon
1.html;interne;montparnasse.html;;маршрут_montparnasse
1.html;interne;euro-survey.html;;Велике європейське дослідження
1.html;interne;24.html;;Франція<->Україна
1.html;interne;25.html;;Франція->Україна
1.html;interne;26.html;;група_містом
1.html;interne;27.html;;група_країною
1.html;interne;28.html;;корисні_сайти
1.html;interne;29.html;;перекладач
1.html;interne;30.html;;перевезення_посилок
1.html;interne;32.html;;дешеві продукти у Парижі
1.html;interne;31.html;;зникла_безвісти
1.html;interne;33.html;;дешеві продукти у Франції
1.html;interne;ada-.html;;ada_працювати
1.html;interne;artist.html;;artist
1.html;interne;ofitsine-prozhivania.html;;офіційне проживання
1.html;interne;hotel.html;;готель зі знижкою
1.html;interne;alternativne.html;;альтернативне рішення
1.html;interne;sotsialne-zhitlo.html;;соціальне житло
1.html;interne;34.html;;онлайн
1.html;interne;35.html;;франц-париж
1.html;interne;36.html;;Франц-Франція
1.html;interne;caf.html;;CAF
1.html;interne;invalid.html;;invalid
1.html;interne;soigner-online.html;;soigner_online
1.html;interne;adressa.html;;адреса для кореспонденції
1.html;interne;38.html;;тимчасового захисту початковий
1.html;interne;ponovlenia.html;;поновлення
1.html;interne;ofii.html;;Ofii
1.html;interne;pole-emploi.html;;pole emploi
1.html;interne;notarius.html;;нотаріус
1.html;interne;zupinka.html;;зупинка захисту
1.html;interne;pogashenia.html;;погашення
1.html;interne;lyon2.html;;Ліон
1.html;interne;narodzhenia.html;;народження
1.html;interne;bercy.html;;маршрут_bercy
1.html;interne;37.html;;Переїзд
1.html;interne;39.html;;Німеччина
1.html;interne;ada-1.html;;ADA_сума
1.html;interne;40.html;;поновлення_Париж
1.html;interne;41.html;;поновлення_передмістя
1.html;interne;42.html;;поновлення_Франція
1.html;interne;43.html;;маршрут_префектура
1.html;interne;44.html;;соціальний працівник
1.html;interne;45.html;;водійські права
1.html;interne;46.html;;водіння у франції
1.html;interne;47.html;;страхування
1.html;interne;48.html;;парковка
1.html;interne;49.html;;аварія
1.html;interne;50.html;;механік
1.html;interne;51.html;;оренда
1.html;interne;52.html;;автошкола
1.html;interne;53.html;;купити Продати
1.html;interne;54.html;;вантажний транспорт
1.html;interne;55.html;;меблі
1.html;interne;56.html;;французький господар
1.html;interne;57.html;;податки
1.html;interne;58.html;;страхування_продовження
1.html;interne;59.html;;посольство
1.html;interne;60.html;;щоб знайти роботу
1.html;interne;61.html;;доступні робочі місця
1.html;interne;62.html;;не знаючи французької
1.html;interne;63.html;;Медичне страхування на роботі. Лікарняний
1.html;interne;64.html;;комп'ютер ІТ професія
1.html;interne;65.html;;учитель вчитель
1.html;interne;66.html;;керівників і менеджерів
1.html;interne;67.html;;дослідники
1.html;interne;fop.html;;позаштатний FOP
1.html;interne;69.html;;няня
1.html;interne;70.html;;з англійською мовою
1.html;interne;68.html;;журналіст
1.html;interne;71.html;;послугами майстринь
1.html;interne;74.html;;купити житло
1.html;interne;2024-.html;;приїжджати 2024?
1.html;interne;vitale.html;;карта vitale
1.html;interne;78.html;;Нант
1.html;interne;79.html;;смерть у Франції
1.html;interne;80.html;;аеропорт
1.html;interne;mutuelle.html;;mutuelle
1.html;interne;mark.html;;mark
1.html;interne;reserv.html;;reserv
1.html;interne;index.html;;Ukraine France
1.html;mailto;mailto:contact@ukrainefrance.org;;mailto:contact@ukrainefrance.org
1.html;interne;index.html;;Назад
10.html;interne;index.html;;На головну
10.html;interne;1.html;;чому?
10.html;interne;2.html;;прибуття
10.html;interne;20.html;;прибуття_Париж
10.html;interne;3.html;;Переміщення
10.html;interne;4.html;;житло
10.html;interne;5.html;;лікувати
10.html;interne;75.html;;ВНЖ, Інші статуси
10.html;interne;76.html;;Порівняння внж
10.html;interne;77.html;;Запит Азіль
10.html;interne;6.html;;тимчасового захисту
10.html;interne;7.html;;працювати
10.html;interne;8.html;;надзвичайна ситуація
10.html;interne;9.html;;вивчати французьку
10.html;interne;10.html;;практична інформація і посилання
10.html;interne;je-suis-francais-je-veux-aider-.html;;Je suis français je veux aider !
10.html;interne;11.html;;діти та неповнолітні
10.html;interne;13.html;;їсти
10.html;interne;12.html;;Домашні тварини
10.html;interne;14.html;;дешеві продукти
10.html;interne;15.html;;Допомога,банк та гроші
10.html;interne;19.html;;лікар
10.html;interne;16.html;;виїзд з україни
10.html;interne;17.html;;студент
10.html;interne;72.html;;Студент та ВНЗ
10.html;interne;73.html;;Після ВНЗ
10.html;interne;18.html;;дозвілля
10.html;interne;deplacer-france.html;;déplacer_france
10.html;interne;deplacer-paris.html;;deplacer_paris
10.html;interne;deplacer-europe.html;;deplacer_europe
10.html;interne;deplacer-voiture.html;;deplacer_voiture
10.html;interne;soigner-sans.html;;soigner_sans
10.html;interne;soigner-protection.html;;soigner_protection
10.html;interne;soigner-avec.html;;soigner_avec
10.html;interne;soigner-psy.html;;soigner_psy
10.html;interne;soigner-medic.html;;soigner_medic
10.html;interne;soigner-covid.html;;soigner_covid
10.html;interne;advocat.html;;advocat
10.html;interne;iest-paris.html;;iest_paris
10.html;interne;iest-france.html;;iest_france
10.html;interne;simcard.html;;simcard
10.html;interne;mineur-non-accompagne.html;;mineur_non_accompagné
10.html;interne;mineur-consulat.html;;mineur_consulat
10.html;interne;mineur-ecole.html;;mineur_ecole
10.html;interne;mineur-divers.html;;mineur_divers
10.html;interne;sante-france.html;;sante_france
10.html;interne;banque-ada.html;;banque_ADA
10.html;interne;banque-change.html;;banque_change
10.html;interne;zashita-evrop.html;;zashita_evrop
10.html;interne;banque-compte.html;;banque_compte
10.html;interne;gare-est.html;;gare_est
10.html;interne;paris-verneuil.html;;paris_verneuil
10.html;interne;neofitsine-zhitlo.html;;neofitsine_zhitlo
10.html;interne;orendu-kvartiri.html;;orendu_kvartiri
10.html;interne;gare-nord-est.html;;gare_nord_est
10.html;interne;21.html;;в дорозі
10.html;interne;22.html;;Ніцці
10.html;interne;23.html;;Страсбурз
10.html;interne;navigo.html;;Знижки_Navigo
10.html;interne;est.html;;маршрут_est
10.html;interne;nord.html;;маршрут_nord
10.html;interne;lyon.html;;маршрут_lyon
10.html;interne;montparnasse.html;;маршрут_montparnasse
10.html;interne;euro-survey.html;;Велике європейське дослідження
10.html;interne;24.html;;Франція<->Україна
10.html;interne;25.html;;Франція->Україна
10.html;interne;26.html;;група_містом
10.html;interne;27.html;;група_країною
10.html;interne;28.html;;корисні_сайти
10.html;interne;29.html;;перекладач
10.html;interne;30.html;;перевезення_посилок
10.html;interne;32.html;;дешеві продукти у Парижі
10.html;interne;31.html;;зникла_безвісти
10.html;interne;33.html;;дешеві продукти у Франції
10.html;interne;ada-.html;;ada_працювати
10.html;interne;artist.html;;artist
10.html;interne;ofitsine-prozhivania.html;;офіційне проживання
10.html;interne;hotel.html;;готель зі знижкою
10.html;interne;alternativne.html;;альтернативне рішення
10.html;interne;sotsialne-zhitlo.html;;соціальне житло
10.html;interne;34.html;;онлайн
10.html;interne;35.html;;франц-париж
10.html;interne;36.html;;Франц-Франція
10.html;interne;caf.html;;CAF
10.html;interne;invalid.html;;invalid
10.html;interne;soigner-online.html;;soigner_online
10.html;interne;adressa.html;;адреса для кореспонденції
10.html;interne;38.html;;тимчасового захисту початковий
10.html;interne;ponovlenia.html;;поновлення
10.html;interne;ofii.html;;Ofii
10.html;interne;pole-emploi.html;;pole emploi
10.html;interne;notarius.html;;нотаріус
10.html;interne;zupinka.html;;зупинка захисту
10.html;interne;pogashenia.html;;погашення
10.html;interne;lyon2.html;;Ліон
10.html;interne;narodzhenia.html;;народження
10.html;interne;bercy.html;;маршрут_bercy
10.html;interne;37.html;;Переїзд
10.html;interne;39.html;;Німеччина
10.html;interne;ada-1.html;;ADA_сума
10.html;interne;40.html;;поновлення_Париж
10.html;interne;41.html;;поновлення_передмістя
10.html;interne;42.html;;поновлення_Франція
10.html;interne;43.html;;маршрут_префектура
10.html;interne;44.html;;соціальний працівник
10.html;interne;45.html;;водійські права
10.html;interne;46.html;;водіння у франції
10.html;interne;47.html;;страхування
10.html;interne;48.html;;парковка
10.html;interne;49.html;;аварія
10.html;interne;50.html;;механік
10.html;interne;51.html;;оренда
10.html;interne;52.html;;автошкола
10.html;interne;53.html;;купити Продати
10.html;interne;54.html;;вантажний транспорт
10.html;interne;55.html;;меблі
10.html;interne;56.html;;французький господар
10.html;interne;57.html;;податки
10.html;interne;58.html;;страхування_продовження
10.html;interne;59.html;;посольство
10.html;interne;60.html;;щоб знайти роботу
10.html;interne;61.html;;доступні робочі місця
10.html;interne;62.html;;не знаючи французької
10.html;interne;63.html;;Медичне страхування на роботі. Лікарняний
10.html;interne;64.html;;комп'ютер ІТ професія
10.html;interne;65.html;;учитель вчитель
10.html;interne;66.html;;керівників і менеджерів
10.html;interne;67.html;;дослідники
10.html;interne;fop.html;;позаштатний FOP
10.html;interne;69.html;;няня
10.html;interne;70.html;;з англійською мовою
10.html;interne;68.html;;журналіст
10.html;interne;71.html;;послугами майстринь
10.html;interne;74.html;;купити житло
10.html;interne;2024-.html;;приїжджати 2024?
10.html;interne;vitale.html;;карта vitale
10.html;interne;78.html;;Нант
10.html;interne;79.html;;смерть у Франції
10.html;interne;80.html;;аеропорт
10.html;interne;mutuelle.html;;mutuelle
10.html;interne;mark.html;;mark
10.html;interne;reserv.html;;reserv
10.html;interne;index.html;;Ukraine France
10.html;externe;https://drive.google.com/file/d/1Fc6o1K2Yql07jiZRLKOjz6FKHESZXxxy/view;drive.google.com;сімейний порадник :
10.html;externe;https://t.me/+wVrbSTqesk40MGU0;t.me;https://t.me/+wVrbSTqesk40MGU0
10.html;externe;https://t.me/refugeesinFrance;t.me;https://t.me/refugeesinFrance
10.html;externe;https://t.me/FranceUkraineNews;t.me;https://t.me/FranceUkraineNews
10.html;externe;https://t.me/+RsdcgDy_VoBiZDcy;t.me;https://t.me/+RsdcgDy_VoBiZDcy
10.html;externe;https://t.me/ukrainevsfrance;t.me;https://t.me/ukrainevsfrance
10.html;externe;https://t.me/ukrainieninfrance;t.me;https://t.me/ukrainieninfrance
10.html;externe;https://t.me/ykrainzivfranzii;t.me;https://t.me/ykrainzivfranzii
10.html;externe;https://t.me/refugeeafrance;t.me;https://t.me/refugeeafrance
10.html;interne;26.html;;
10.html;interne;27.html;;
10.html;interne;28.html;;
10.html;interne;44.html;;
10.html;interne;29.html;;
10.html;interne;notarius.html;;
10.html;interne;30.html;;
10.html;interne;31.html;;
10.html;interne;advocat.html;;
10.html;interne;59.html;;
10.html;interne;79.html;;
10.html;interne;index.html;;< Назад
10.html;interne;je-suis-francais-je-veux-aider-.html;;Далi >
10.html;mailto;mailto:contact@ukrainefrance.org;;mailto:contact@ukrainefrance.org
11.html;interne;index.html;;На головну
11.html;interne;1.html;;чому?
11.html;interne;2.html;;прибуття
11.html;interne;20.html;;прибуття_Париж
11.html;interne;3.html;;Переміщення
11.html;interne;4.html;;житло
11.html;interne;5.html;;лікувати
11.html;interne;75.html;;ВНЖ, Інші статуси
11.html;interne;76.html;;Порівняння внж
11.html;interne;77.html;;Запит Азіль
11.html;interne;6.html;;тимчасового захисту
11.html;interne;7.html;;працювати
